,Year,Month,Country_of_origin,Imports_hardcoal_tonnes,Imports_hardcoal_gigajoules,Average_calorificvalue_hardcoal,Imports_hardcoal_euros,Imports_hardcoal_eurospert,Imports_of_hard_coal_in_euros/tce
1397,2015,August,Colombia,408669.0,10099487.0,24713.0,22971438.0,56.21,66.66
1398,2015,August,Australia,,,,,,
1399,2015,August,Other third countries,84316.0,2470306.0,29298.0,7774175.0,92.2,92.23
1400,2015,September,EU countries,436624.0,11567819.0,26494.0,27505146.0,63.0,69.69
1401,2015,September,Third countries,3256192.0,89204868.0,27395.0,233850244.0,71.82,76.83
1402,2015,September,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
1403,2015,September,Russian Federation,1376573.0,36027495.0,26172.0,88379724.0,64.2,71.9
1404,2015,September,South Africa,65967.0,1806088.0,27379.0,4683849.0,71.0,76.01
1405,2015,September,United States,603204.0,17154089.0,28438.0,47048372.0,78.0,80.38
1406,2015,September,Canada,114792.0,3587451.0,31252.0,10617755.0,92.5,86.74
1407,2015,September,Colombia,409651.0,10159999.0,24802.0,22403078.0,54.69,64.62
1408,2015,September,Australia,501591.0,15250352.0,30404.0,47345049.0,94.39,90.99
1409,2015,September,Other third countries,184414.0,5219394.0,28303.0,13372417.0,72.51,75.09
1410,2015,October,EU countries,411684.0,10932903.0,26557.0,26870564.0,65.27,72.03
1411,2015,October,Third countries,3298542.0,90208371.0,27348.0,225319413.0,68.31,73.2
1412,2015,October,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
1413,2015,October,Russian Federation,1246418.0,32882549.0,26382.0,75787484.0,60.8,67.55
1414,2015,October,South Africa,130556.0,3328540.0,25495.0,7670732.0,58.75,67.54
1415,2015,October,United States,679575.0,19311505.0,28417.0,54622186.0,80.38,82.9
1416,2015,October,Canada,,,,,,
1417,2015,October,Colombia,585767.0,14555488.0,24849.0,31222167.0,53.3,62.87
1418,2015,October,Australia,,,,,,
1419,2015,October,Other third countries,68624.0,1946185.0,28360.0,5543422.0,80.78,83.48
1420,2015,November,EU countries,274622.0,7373686.0,26850.0,19539526.0,71.15,77.66
1421,2015,November,Third countries,3911107.0,105395184.0,26948.0,266959963.0,68.26,74.24
1422,2015,November,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
1423,2015,November,Russian Federation,1551602.0,40878263.0,26346.0,100877618.0,65.02,72.33
1424,2015,November,South Africa,286779.0,7055862.0,24604.0,15732201.0,54.86,65.35
1425,2015,November,United States,601804.0,17125731.0,28457.0,46960316.0,78.03,80.37
1426,2015,November,Canada,,,,,,
1427,2015,November,Colombia,698486.0,17326933.0,24806.0,37739451.0,54.03,63.84
1428,2015,November,Australia,,,,,,
1429,2015,November,Other third countries,138348.0,3718653.0,26879.0,9280824.0,67.08,73.15
1430,2015,December,EU countries,407599.0,10712831.0,26283.0,25484563.0,62.52,69.72
1431,2015,December,Third countries,3350063.0,90138260.0,26906.0,222606680.0,66.45,72.38
1432,2015,December,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
1433,2015,December,Russian Federation,1160999.0,30052487.0,25885.0,70888431.0,61.06,69.13
1434,2015,December,South Africa,253811.0,6216826.0,24494.0,13519407.0,53.27,63.73
1435,2015,December,United States,640801.0,17824939.0,27817.0,42695706.0,66.63,70.2
1436,2015,December,Canada,117153.0,3528080.0,30115.0,10531209.0,89.89,87.48
1437,2015,December,Colombia,559226.0,13727428.0,24547.0,29995834.0,53.64,64.04
1438,2015,December,Australia,566077.0,17304243.0,30569.0,50955866.0,90.02,86.3
1439,2015,December,Other third countries,51996.0,1484257.0,28546.0,4020227.0,77.32,79.38
1440,2016,January,EU countries,175725.0,4784587.0,27228.0,12176979.0,69.3,74.59
1441,2016,January,Third countries,3848665.0,102634580.0,26668.0,237385139.0,61.68,67.79
1442,2016,January,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
1443,2016,January,Russian Federation,1501346.0,38769001.0,25823.0,85297811.0,56.81,64.48
1444,2016,January,South Africa,150688.0,3901134.0,25889.0,8913938.0,59.15,66.97
1445,2016,January,United States,790702.0,21657656.0,27390.0,51745536.0,65.44,70.02
1446,2016,January,Canada,,,,,,
1447,2016,January,Colombia,703769.0,17234618.0,24489.0,34267690.0,48.69,58.27
1448,2016,January,Australia,,,,,,
1449,2016,January,Other third countries,81347.0,2146160.0,26383.0,4951063.0,60.86,67.61
1450,2016,February,EU countries,169036.0,4554392.0,26943.0,11196185.0,66.24,72.05
1451,2016,February,Third countries,3911087.0,104885246.0,26817.0,231869854.0,59.29,64.79
1452,2016,February,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
1453,2016,February,Russian Federation,1632837.0,42155770.0,25818.0,87769515.0,53.75,61.02
1454,2016,February,South Africa,74766.0,1972467.0,26382.0,4374568.0,58.51,65.0
